,LK
0,0.9834389820406717
1,0.9838216510621484
2,0.9844040875128784
3,0.9851244965776011
4,0.9856306256909807
5,0.9861367478108173
6,0.9867727443600044
7,0.98797429038034
8,0.9883560285649012
9,0.9897745682586838
10,0.9903716696284455
11,0.9914083208226809
12,0.9920900069121359
13,0.9929652610614461
14,0.9936241722368382
15,0.9944421273999617
16,0.9951131713899565
17,0.9955193694144758
18,0.9965121662136232
19,0.9973095841317264
20,0.9979730419913484
21,0.9986857301088391
22,0.9991596836326291
23,0.9993217239902887
24,0.9994451309212637
25,0.9995586755634769
26,0.9995827684588791
27,0.9997099306836249
28,0.9998226591340653
29,0.9986023730484809
30,0.9989464630593513
31,0.9989862118330178
32,0.9991591466774581
33,0.9992857427316746
34,0.9700672945134877
35,0.9705412479272008
36,0.9709861015878891
37,0.9712343475425222
38,0.9721987423836931
39,0.9730398734093442
40,0.9737466880689561
41,0.9739949090965807
42,0.9742675890401901
43,0.974515843601646
44,0.9753335648896028
45,0.9781142669763091
46,0.9784730112752232
47,0.9788397301135983
48,0.9793989881555106
49,0.9796472409252359
50,0.9803066666455064
51,0.9806124534020891
52,0.9808606787052772
53,0.981502890948614
54,0.9842836250704059
55,0.9850736781544701
56,0.9853218989826009
57,0.9878543990753186
58,0.9881991456978511
59,0.9894122197644111
60,0.9896604738739865
61,0.9903829284940235
62,0.9906311501602939
63,0.9912923076111829
64,0.9919329511550166
65,0.9925281516974549
66,0.9927764303275964
67,0.9930703430129498
68,0.9942329951946998
69,0.9955084987849606
70,0.9963630067531779
71,0.9966112695839008
72,0.9976579655375789
73,0.998170213167428
74,0.9992057157081702
75,0.9994813123358276
76,0.9995511853608854
77,0.9997243740269116
78,0.999890532695813
79,0.9999323830247656
80,0.9999323861421731
81,0.0
82,0.002364135497163565
83,0.002633656491754218
84,0.003723409145471242
85,0.004769374177058976
86,0.0070085499305209695
87,0.007384410557894614
88,0.007923191299462522
89,0.008589726842259515
90,0.009366298156674283
91,0.009616712429330493
92,0.010038418362898989
93,0.010655244476686886
94,0.012083776130270516
95,0.012705421374105946
96,0.013172544746181954
97,0.01400297769595069
98,0.014481921631771357
99,0.016133820374626677
100,0.016382103146618313
101,0.016779383178819378
102,0.016892119949295882
103,0.016970195524193352
104,0.017179104212207898
105,0.01729710723821109
106,0.017474714341984998
107,0.9749631951512031
108,0.976279341584308
109,0.9779473526074957
110,0.9799017954421544
111,0.980375748867021
112,0.9807888390759901
113,0.9811327784252889
114,0.9823467347249853
115,0.9825949738185971
116,0.9831917470761882
117,0.9849785239649003
118,0.9862996007018916
119,0.9865478240118036
120,0.988204443972448
121,0.9901669531333946
122,0.9921830535834957
123,0.9928485790844681
124,0.9931316267197379
125,0.9948014810823455
126,0.9966363784601839
127,0.9985772594548527
128,0.9992849868137395
129,0.9993977538064339
130,0.9995632613456407
131,0.9996326687449995
132,0.9998060423970282
133,0.9998444854068155
134,0.9998497060727565
135,0.9999758011241915
136,1.0
137,0.7068901658026021
